([(0 4.243523648869988e+00)] -3.456328835715488e+01)
([(0 4.981488100315668e+00)] -3.491207296490266e+01)
([(0 5.822454134994754e+00)] -1.756005784386575e+01)
([(0 5.173246905691043e+00)] -1.945312011685392e+01)
([(0 5.367007875210313e+00)] -7.333185807246707e+01)
([(0 5.984800295476271e+00)] -3.829842781320188e+01)
([(0 4.461449705456372e+00)] -4.143304298479043e+01)
([(0 5.356777694874955e+00)] -5.716722428514586e+01)
([(0 5.804250487790002e+00)] -7.540492716205512e+01)
([(0 6.417300793886850e+00)] -2.462578643822799e+01)
([(0 3.909388565340697e+00)] -7.078516817904656e+01)
([(0 7.289078053466108e+00)] -9.107014811938956e+00)
([(0 5.622244109630643e+00)] -3.140153304118947e+01)
([(0 5.672158609182468e+00)] -2.713422803781015e+01)
([(0 6.888297150265662e+00)] -9.376019459703018e+01)
([(0 4.537990431131675e+00)] -1.762636365852155e+01)
([(0 6.496869976682011e+00)] -8.078232029841494e+00)
([(0 4.916229503689999e+00)] -3.465920779808881e+01)
([(0 6.543665340632030e+00)] -2.308090722571720e+02)
([(0 4.986442796910704e+00)] -5.325423704629161e+01)
([(0 6.197951283821918e+00)] -2.373271872419613e+01)
([(0 4.128608949950637e+00)] -1.531944786852228e+01)
([(0 4.293905570398370e+00)] -7.634967947305344e+01)
([(0 4.671512669545425e+00)] -3.857439688849159e+01)
([(0 2.768381962341930e+00)] -1.612984905777791e+02)
([(0 6.503967802072588e+00)] -8.423074361840705e+01)
([(0 5.213257349392538e+00)] -2.614642523127677e+01)
([(0 6.077624363288588e+00)] -7.251960972230522e+01)
([(0 4.426394008918253e+00)] -1.172548303897101e+01)
([(0 6.383016212558993e+00)] -1.075928007261582e+01)
([(0 5.147795231636036e+00)] -4.522795636251237e+01)
([(0 4.655006124640460e+00)] -2.008220111568917e+01)
([(0 6.639129513957040e+00)] -3.807727847707568e+01)
([(0 4.809957571398621e+00)] -6.780940732819319e+01)
([(0 3.382930960679049e+00)] -1.299778183546029e+01)
([(0 7.965590736341460e+00)] -5.843223350440738e+01)
([(0 5.785710615519019e+00)] -2.290357982285101e+01)
([(0 5.497631038424434e+00)] -1.379619999393561e+02)
([(0 5.715245763456390e+00)] -4.139195037579797e+01)
([(0 4.034755545105010e+00)] -2.441829057799837e+01)
([(0 4.852094499007024e+00)] -3.014459229432781e+01)
([(0 5.429685210930055e+00)] -1.110428850514731e+02)
([(0 5.288799292168803e+00)] -1.217689843318250e+01)
([(0 5.781746661751463e+00)] -1.583259182870257e+01)
([(0 4.088999781744699e+00)] -2.753281957295480e+01)
([(0 6.938452882100931e+00)] -4.996405674790108e+01)
([(0 6.136662219678744e+00)] -2.349127165708747e+01)
([(0 4.653447898958058e+00)] -1.955253044729287e+01)
